NUKYIC01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell volume @299K,1353.64,0.01,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
2, Unit cell volume @313K,1358.02, 0.03,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
3, Unit cell volume @328K,1362.80, 0.02,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
4, Unit cell volume @343K,1368.64, 0.03,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
5, Unit cell volume @358K,1374.60, 0.02,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
6, Unit cell volume @373K,1379.07, 0.02,     , Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
