NUKYIC01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell beta @299K,93.798,0.005,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
2, Unit cell beta @313K,93.661, 0.003,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
3, Unit cell beta @328K,93.497, 0.004,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
4, Unit cell beta @343K,93.328, 0.007,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
5, Unit cell beta @358K,93.150, 0.002,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
6, Unit cell beta @373K,92.940, 0.002,     , Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
