NUKYIC01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell b @299K,30.371,  0.003,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
2, Unit cell b @313K,30.368,  0.004,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
3, Unit cell b @328K,30.359, 0.009,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
4, Unit cell b @343K,30.343, 0.005,    ,  FFeliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
5, Unit cell b @358K,30.318,  0.006,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
6, Unit cell b @373K,30.279,  0.005,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
