XANTEQ,,,,,,,
Identifier,Property,Value (K),Std,N,Name,Reference,Comment
1,temperature of transition,289.2,0.7,,Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, Solubility data"
2,temperature of transition,367.2,0.4,5,Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, DSC 5K/min"
