NUKYIC01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell a @299K,4.989, 0.003,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
2, Unit cell a @313K,4.992, 0.005,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
3, Unit cell a @328K,4.993, 0.005,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
4, Unit cell a @343K,4.993,	0.007,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
5, Unit cell a @358K,4.991,	0.003,    ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
6, Unit cell a @373K,4.989, 0.005,     ,  Feliciano,https://doi.org/10.1021/acs.cgd.6c00576  ,"Cryst. Growth Des. 2026, VT-XRPD Rietveld refinement"
