Carbon atom, 13C Chemical Shift (ppm)
C1, 152.6
C2/C6, 111.7
C5/C5, 129.9
C4, 123.9
C2', 156.5
C4', 170.7
C5', 117.2
C6', 159.2
CH_3, 24.6
