Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Degrees),Std,N,Name,Comment,Reference
1,Angle gamma @296.15K,81.5794,0.04218,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Angle gamma @304.15K,81.54078,0.03557,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Angle gamma @314.15K,81.49484,0.03826,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Angle gamma @324.15K,81.35856,0.03517,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Angle gamma @335.15K,81.34539,0.03575,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Angle gamma @345.15K,81.30381,0.03225,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Angle gamma @355.15K,81.14077,0.02227,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
