Identifier,Property,Value Degrees,Std,N,Temperature degrees Celsius,Name,Reference,Comment
1,angle gamma,81.5794,0.04218,1,23,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
2,angle gamma,81.54078,0.03557,1,31,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
3,angle gamma,81.49484,0.03826,1,41,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
4,angle gamma,81.35856,0.03517,1,51,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
5,angle gamma,81.34539,0.03575,1,62,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
6,angle gamma,81.30381,0.03225,1,72,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
7,angle gamma,81.14077,0.02227,1,82,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
