Identifier,Property,Value Angstrom,Std,N,Temperature degrees Celsius,Name,Reference,Comment
1,cell parameter a,6.1819,0.00381,1,23,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
2,cell parameter a,6.19147,0.00307,1,31,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
3,cell parameter a,6.2017,0.00302,1,41,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
4,cell parameter a,6.22111,0.00279,1,51,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
5,cell parameter a,6.22893,0.0028,1,62,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
6,cell parameter a,6.23966,0.00241,1,72,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
7,cell parameter a,6.2519,0.00161,1,82,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
