Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Angstrom^3),Std,N,Name,Comment,Reference
1,Unit cell volume/Z @296.15K,1120.44437,0.753712305,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Unit cell volume/Z @304.15K,1122.60652,0.609208643,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Unit cell volume/Z @314.15K,1124.94899,0.608661597,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Unit cell volume/Z @324.15K,1129.73385,0.574661883,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Unit cell volume/Z @335.15K,1132.32463,0.566699990,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Unit cell volume/Z @345.15K,1135.48226,0.502940758,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Unit cell volume/Z @355.15K,1138.58035,0.382849719,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
