Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Angstrom),Std,N,Name,Comment,Reference
1,Cell parameter c @296.15K,17.41192,0.00267,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Cell parameter c @304.15K,17.41964,0.00255,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Cell parameter c @314.15K,17.42885,0.00248,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Cell parameter c @324.15K,17.44491,0.00233,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Cell parameter c @335.15K,17.45523,0.0023,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Cell parameter c @345.15K,17.46939,0.00227,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Cell parameter c @355.15K,17.48693,0.00276,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
