Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Angstrom),Std,N,Name,Comment,Reference
1,Cell parameter a @296.15K,6.1819,0.00381,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Cell parameter a @304.15K,6.19147,0.00307,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Cell parameter a @314.15K,6.2017,0.00302,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Cell parameter a @324.15K,6.22111,0.00279,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Cell parameter a @335.15K,6.22893,0.0028,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Cell parameter a @345.15K,6.23966,0.00241,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Cell parameter a @355.15K,6.2519,0.00161,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
