Identifier,Property,Value Degrees,Std,N,Temperature degrees Celsius,Name,Reference,Comment
1,angle beta,84.46139,0.03513,1,23,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
2,angle beta,84.36249,0.03259,1,31,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
3,angle beta,84.31402,0.03343,1,41,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
4,angle beta,84.2251,0.0304,1,51,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
5,angle beta,84.20841,0.03102,1,62,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
6,angle beta,84.15973,0.02915,1,72,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
7,angle beta,83.97686,0.01835,1,82,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
