Identifier,Property,Value Angstrom,Std,N,Temperature degrees Celsius,Name,Reference,Comment
1,cell parameter c,17.41192,0.00267,1,23,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
2,cell parameter c,17.41964,0.00255,1,31,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
3,cell parameter c,17.42885,0.00248,1,41,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
4,cell parameter c,17.44491,0.00233,1,51,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
5,cell parameter c,17.45523,0.0023,1,62,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
6,cell parameter c,17.46939,0.00227,1,72,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
7,cell parameter c,17.48693,0.00276,1,82,Nicolas Couvrat/Ivo Rietveld,Unpublished experimental data,Experimental data
