Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Angstrom),Std,N,Name,Comment,Reference
1,Cell parameter b @296.15K,10.82869,0.00209,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Cell parameter b @304.15K,10.83013,0.00141,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Cell parameter b @314.15K,10.82997,0.00168,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Cell parameter b @324.15K,10.83664,0.0019,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Cell parameter b @335.15K,10.84147,0.00156,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Cell parameter b @345.15K,10.84522,0.00158,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Cell parameter b @355.15K,10.84988,0.00144,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
