Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (Degrees),Std,N,Name,Comment,Reference
1,Angle beta @296.15K,84.46139,0.03513,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
2,Angle beta @304.15K,84.36249,0.03259,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
3,Angle beta @314.15K,84.31402,0.03343,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
4,Angle beta @324.15K,84.2251,0.0304,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
5,Angle beta @335.15K,84.20841,0.03102,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
6,Angle beta @345.15K,84.15973,0.02915,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
7,Angle beta @355.15K,83.97686,0.01835,1,Nicolas Couvrat ,Experimental data,Unpublished experimental data
